corp_label,구분,fy,rcept_no,report_nm,rcept_dt,section_title,table_index,row_index,원문헤더,원문행,비고_원문,겸직인원_언급,fetched_at,status,raw_path,raw_sha256
농협금융지주,지주,2012,20130329002244,사업보고서 (2012.12),20130329,1. 임원 및 직원의 현황,5,14,사업부문 | 성별 | 직 원 수·정규직 | 직 원 수·계약직 | 직 원 수·기 타 | 직 원 수·합 계 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 비고,"합 계 | 85 | 7 | 3 | 95 | 10개월 | 6,755 | 71 | -",,N,2026-09-22T11:43:25+09:00,000,raw/document/20130329002244.zip,54ca584a404958b9e52fb9a2f1b82d24bc6a04c8d9858acdfddb4aa287c9db22
JB금융지주,지주,2013,20140326000207,사업보고서 (2013.12),20140326,II. 사업의 내용,3,15,사업부문 | 내 용,"금융지주업 | 자회사에 대한 자금 지원, 경영관리 업무 등",,N,2026-09-22T11:43:43+09:00,000,raw/document/20140326000207.zip,783dcb7d1ae63972048e761e70964362c1c6ac7fce30c537cc6f2b9237ae227f
JB금융지주,지주,2013,20140326000207,사업보고서 (2013.12),20140326,II. 사업의 내용,3,16,사업부문 | 내 용,은행업 | 일반대중으로부터 예금 등의 형태로 취득한 자금을 주 재원으로 하여 자금수요자에게 장.단기 대출형식으로 자금을 공급하는 업무 등,,N,2026-09-22T11:43:43+09:00,000,raw/document/20140326000207.zip,783dcb7d1ae63972048e761e70964362c1c6ac7fce30c537cc6f2b9237ae227f
JB금융지주,지주,2013,20140326000207,사업보고서 (2013.12),20140326,II. 사업의 내용,3,17,사업부문 | 내 용,"여신전문금융업 | 시설대여업, 할부금융업, 신기술사업금융업",,N,2026-09-22T11:43:43+09:00,000,raw/document/20140326000207.zip,783dcb7d1ae63972048e761e70964362c1c6ac7fce30c537cc6f2b9237ae227f
JB금융지주,지주,2013,20140326000207,사업보고서 (2013.12),20140326,1. 임원 및 직원의 현황,8,18,사업부문 | 성별 | 직 원 수·정규직 | 직 원 수·계약직 | 직 원 수·기 타 | 직 원 수·합 계 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 비고,금융업 | 남 | 11 | 2 | 14 | 27 | 5개월 10일 | 671 | 25 | -,,N,2026-09-22T11:43:43+09:00,000,raw/document/20140326000207.zip,783dcb7d1ae63972048e761e70964362c1c6ac7fce30c537cc6f2b9237ae227f
JB금융지주,지주,2013,20140326000207,사업보고서 (2013.12),20140326,1. 임원 및 직원의 현황,8,19,사업부문 | 성별 | 직 원 수·정규직 | 직 원 수·계약직 | 직 원 수·기 타 | 직 원 수·합 계 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 비고,금융업 | 여 | 1 | 3 | 1 | 5 | 4개월 24일 | 96 | 19 | -,,N,2026-09-22T11:43:43+09:00,000,raw/document/20140326000207.zip,783dcb7d1ae63972048e761e70964362c1c6ac7fce30c537cc6f2b9237ae227f
JB금융지주,지주,2013,20140326000207,사업보고서 (2013.12),20140326,1. 임원 및 직원의 현황,8,20,사업부문 | 성별 | 직 원 수·정규직 | 직 원 수·계약직 | 직 원 수·기 타 | 직 원 수·합 계 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 비고,합 계 | 12 | 5 | 15 | 32 | 5개월 13일 | 767 | 24 | -,,N,2026-09-22T11:43:43+09:00,000,raw/document/20140326000207.zip,783dcb7d1ae63972048e761e70964362c1c6ac7fce30c537cc6f2b9237ae227f
신한은행(구),은행,2019,20200330003827,사업보고서 (2019.12),20200330,1. 임원 및 직원 등의 현황,5,21,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,전체 | (단시간근로자) | 전체 | (단시간근로자),,N,2026-09-22T11:48:51+09:00,000,raw/document/20200330003827.zip,188228bfef4a1674336916a1a32d6828978769538e7d33775dd15e82e36f1416
신한은행(구),은행,2019,20200330003827,사업보고서 (2019.12),20200330,1. 임원 및 직원 등의 현황,5,22,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,"금융서비스 | 남 | 7,046 | - | 745 | 335 | 7,791 | 16년 11개월 | 855,803 | 110 | 1,825 | 2,305 | 4,130 | -",,N,2026-09-22T11:48:51+09:00,000,raw/document/20200330003827.zip,188228bfef4a1674336916a1a32d6828978769538e7d33775dd15e82e36f1416
신한은행(구),은행,2019,20200330003827,사업보고서 (2019.12),20200330,1. 임원 및 직원 등의 현황,5,23,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,"금융서비스 | 여 | 6,119 | 194 | 272 | 162 | 6,391 | 12년 7개월 | 440,081 | 69 | -",,N,2026-09-22T11:48:51+09:00,000,raw/document/20200330003827.zip,188228bfef4a1674336916a1a32d6828978769538e7d33775dd15e82e36f1416
신한은행(구),은행,2019,20200330003827,사업보고서 (2019.12),20200330,1. 임원 및 직원 등의 현황,5,24,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,"합 계 | 13,165 | 194 | 1,017 | 497 | 14,182 | 14년 11개월 | 1,295,884 | 91 | -",,N,2026-09-22T11:48:51+09:00,000,raw/document/20200330003827.zip,188228bfef4a1674336916a1a32d6828978769538e7d33775dd15e82e36f1416
신한지주,지주,2019,20200330003956,사업보고서 (2019.12),20200330,1. 임원 및 직원 등의 현황,9,25,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,전체 | (단시간근로자) | 전체 | (단시간근로자),,N,2026-09-22T11:49:52+09:00,000,raw/document/20200330003956.zip,2a775d1fa784ec4b99cc2b439da10ab615261bc19c3b45b6573616248677446c
신한지주,지주,2019,20200330003956,사업보고서 (2019.12),20200330,1. 임원 및 직원 등의 현황,9,26,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,"- | 남 | 125 | - | 18 | - | 143 | 2년 11개월 (14년7개월) | 16,109 | 137 | - | - | - | -",,N,2026-09-22T11:49:52+09:00,000,raw/document/20200330003956.zip,2a775d1fa784ec4b99cc2b439da10ab615261bc19c3b45b6573616248677446c
신한지주,지주,2019,20200330003956,사업보고서 (2019.12),20200330,1. 임원 및 직원 등의 현황,9,27,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,"- | 여 | 27 | - | 2 | - | 29 | 4년 4개월 (10년 3개월) | 2,283 | 78 | -",,N,2026-09-22T11:49:52+09:00,000,raw/document/20200330003956.zip,2a775d1fa784ec4b99cc2b439da10ab615261bc19c3b45b6573616248677446c
신한지주,지주,2019,20200330003956,사업보고서 (2019.12),20200330,1. 임원 및 직원 등의 현황,9,28,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,"합 계 | 152 | - | 20 | - | 172 | 3년 2개월 (13년 11개월) | 18,393 | 115 | -",,N,2026-09-22T11:49:52+09:00,000,raw/document/20200330003956.zip,2a775d1fa784ec4b99cc2b439da10ab615261bc19c3b45b6573616248677446c
우리금융지주,지주,2019,20200330004490,사업보고서 (2019.12),20200330,1. 임원 및 직원 등의 현황,10,29,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,전체 | (단시간근로자) | 전체 | (단시간근로자),,N,2026-09-16T11:04:51+09:00,000,raw/document/20200330004490.zip,10fb2f3cff15eba2d5974129ca2bdbcb0bf3bb0fe8a7755d920b8f4f75d319ca
우리금융지주,지주,2019,20200330004490,사업보고서 (2019.12),20200330,1. 임원 및 직원 등의 현황,10,30,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,"- | 남 | 117 | - | 22 | - | 139 | 11개월 (15년 1개월) | 13,949 | 128 | - | - | - | -",,N,2026-09-16T11:04:51+09:00,000,raw/document/20200330004490.zip,10fb2f3cff15eba2d5974129ca2bdbcb0bf3bb0fe8a7755d920b8f4f75d319ca
우리금융지주,지주,2019,20200330004490,사업보고서 (2019.12),20200330,1. 임원 및 직원 등의 현황,10,31,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,"- | 여 | 13 | - | 7 | - | 20 | 10개월 (9년 8개월) | 1,074 | 77 | -",,N,2026-09-16T11:04:51+09:00,000,raw/document/20200330004490.zip,10fb2f3cff15eba2d5974129ca2bdbcb0bf3bb0fe8a7755d920b8f4f75d319ca
우리금융지주,지주,2019,20200330004490,사업보고서 (2019.12),20200330,1. 임원 및 직원 등의 현황,10,32,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,"합 계 | 130 | - | 29 | - | 159 | 11개월 (14년 6개월) | 15,023 | 122 | -",,N,2026-09-16T11:04:51+09:00,000,raw/document/20200330004490.zip,10fb2f3cff15eba2d5974129ca2bdbcb0bf3bb0fe8a7755d920b8f4f75d319ca
신한지주,지주,2020,20210317001127,사업보고서 (2020.12),20210317,1. 임원 및 직원 등의 현황,13,33,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,전체 | (단시간근로자) | 전체 | (단시간근로자),,N,2026-09-22T11:50:55+09:00,000,raw/document/20210317001127.zip,70d82cae25fec76fc3626c8c2886272fa0d670e80180166b93e55500ccc791f0
신한지주,지주,2020,20210317001127,사업보고서 (2020.12),20210317,1. 임원 및 직원 등의 현황,13,34,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,"- | 남 | 118 | - | 16 | - | 134 | 2년 9개월 (14년 10개월) | 20,558 | 153 | - | - | - | -",,N,2026-09-22T11:50:55+09:00,000,raw/document/20210317001127.zip,70d82cae25fec76fc3626c8c2886272fa0d670e80180166b93e55500ccc791f0
신한지주,지주,2020,20210317001127,사업보고서 (2020.12),20210317,1. 임원 및 직원 등의 현황,13,35,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,"- | 여 | 32 | - | 1 | 1 | 33 | 3년 9개월 (11년) | 3,000 | 91 | -",,N,2026-09-22T11:50:55+09:00,000,raw/document/20210317001127.zip,70d82cae25fec76fc3626c8c2886272fa0d670e80180166b93e55500ccc791f0
신한지주,지주,2020,20210317001127,사업보고서 (2020.12),20210317,1. 임원 및 직원 등의 현황,13,36,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,"합 계 | 150 | - | 17 | 1 | 167 | 3년 (14년 1개월) | 23,558 | 141 | -",,N,2026-09-22T11:50:55+09:00,000,raw/document/20210317001127.zip,70d82cae25fec76fc3626c8c2886272fa0d670e80180166b93e55500ccc791f0
신한은행(구),은행,2020,20210318000426,사업보고서 (2020.12),20210318,1. 임원 및 직원 등의 현황,5,37,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,전체 | (단시간근로자) | 전체 | (단시간근로자),,N,2026-09-22T11:51:48+09:00,000,raw/document/20210318000426.zip,5c4fa97167ff322ee4bbd48d7ec9a367f4695e32164c67cc917490f544f156c3
신한은행(구),은행,2020,20210318000426,사업보고서 (2020.12),20210318,1. 임원 및 직원 등의 현황,5,38,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,"금융서비스 | 남 | 6,862 | - | 830 | 319 | 7,692 | 17 년 2 개월 | 865,852 | 112 | 1,763 | 2,455 | 4,218 | -",,N,2026-09-22T11:51:48+09:00,000,raw/document/20210318000426.zip,5c4fa97167ff322ee4bbd48d7ec9a367f4695e32164c67cc917490f544f156c3
신한은행(구),은행,2020,20210318000426,사업보고서 (2020.12),20210318,1. 임원 및 직원 등의 현황,5,39,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,"금융서비스 | 여 | 6,155 | 169 | 159 | 60 | 6,314 | 13 년 3 개월 | 478,660 | 76 | -",,N,2026-09-22T11:51:48+09:00,000,raw/document/20210318000426.zip,5c4fa97167ff322ee4bbd48d7ec9a367f4695e32164c67cc917490f544f156c3
신한은행(구),은행,2020,20210318000426,사업보고서 (2020.12),20210318,1. 임원 및 직원 등의 현황,5,40,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,"합 계 | 13,017 | 169 | 989 | 379 | 14,006 | 15 년 4 개월 | 1,344,512 | 96 | -",,N,2026-09-22T11:51:48+09:00,000,raw/document/20210318000426.zip,5c4fa97167ff322ee4bbd48d7ec9a367f4695e32164c67cc917490f544f156c3
신한지주,지주,2021,20220316000748,사업보고서 (2021.12),20220316,1. 임원 및 직원 등의 현황,13,41,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,전체 | (단시간근로자) | 전체 | (단시간근로자),,N,2026-09-22T11:52:56+09:00,000,raw/document/20220316000748.zip,44048b31e89f5ba190d2b8c27f1ae37b0cf1f0db7586af6f4255b546170bfa82
신한지주,지주,2021,20220316000748,사업보고서 (2021.12),20220316,1. 임원 및 직원 등의 현황,13,42,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,"- | 남 | 131 | - | 16 | - | 147 | 3년 (15년 4개월) | 24,781 | 175 | - | - | - | -",,N,2026-09-22T11:52:56+09:00,000,raw/document/20220316000748.zip,44048b31e89f5ba190d2b8c27f1ae37b0cf1f0db7586af6f4255b546170bfa82
신한지주,지주,2021,20220316000748,사업보고서 (2021.12),20220316,1. 임원 및 직원 등의 현황,13,43,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,"- | 여 | 34 | - | 2 | 1 | 36 | 3년 10개월 (11년 6개월) | 3,647 | 104 | -",,N,2026-09-22T11:52:56+09:00,000,raw/document/20220316000748.zip,44048b31e89f5ba190d2b8c27f1ae37b0cf1f0db7586af6f4255b546170bfa82
신한지주,지주,2021,20220316000748,사업보고서 (2021.12),20220316,1. 임원 및 직원 등의 현황,13,44,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,"합 계 | 165 | - | 18 | 1 | 183 | 3년 2개월 (14년 7개월) | 28,428 | 161 | -",,N,2026-09-22T11:52:56+09:00,000,raw/document/20220316000748.zip,44048b31e89f5ba190d2b8c27f1ae37b0cf1f0db7586af6f4255b546170bfa82
신한은행(구),은행,2021,20220316001081,사업보고서 (2021.12),20220316,1. 임원 및 직원 등의 현황,6,45,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,전체 | (단시간근로자) | 전체 | (단시간근로자),,N,2026-09-22T11:53:52+09:00,000,raw/document/20220316001081.zip,939d66c3014f08d1b9c426714f23bb14b38a9111732c8dc3af74a8ed5082d107
신한은행(구),은행,2021,20220316001081,사업보고서 (2021.12),20220316,1. 임원 및 직원 등의 현황,6,46,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,"금융서비스 | 남 | 6,661 | - | 784 | 218 | 7,445 | 17 년 3개월 | 931,994 | 124 | 1,667 | 2,276 | 3,943 | -",,N,2026-09-22T11:53:52+09:00,000,raw/document/20220316001081.zip,939d66c3014f08d1b9c426714f23bb14b38a9111732c8dc3af74a8ed5082d107
신한은행(구),은행,2021,20220316001081,사업보고서 (2021.12),20220316,1. 임원 및 직원 등의 현황,6,47,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,"금융서비스 | 여 | 6,018 | 160 | 172 | 47 | 6,190 | 13 년 9개월 | 521,435 | 83 | -",,N,2026-09-22T11:53:52+09:00,000,raw/document/20220316001081.zip,939d66c3014f08d1b9c426714f23bb14b38a9111732c8dc3af74a8ed5082d107
신한은행(구),은행,2021,20220316001081,사업보고서 (2021.12),20220316,1. 임원 및 직원 등의 현황,6,48,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,"합 계 | 12,679 | 160 | 956 | 265 | 13,635 | 15 년 7개월 | 1,453,429 | 107 | -",,N,2026-09-22T11:53:52+09:00,000,raw/document/20220316001081.zip,939d66c3014f08d1b9c426714f23bb14b38a9111732c8dc3af74a8ed5082d107
신한지주,지주,2022,20230315001015,사업보고서 (2022.12),20230315,1. 임원 및 직원 등의 현황,13,49,사업부문 | 성별 | 직 원 수·기간의 정함이없는 근로자 | 직 원 수·기간제근로자 | 직 원 수·합 계 | 직 원 수 | 직 원 수 | 평 균근속연수 | 연간급여총 액 | 1인평균급여액 | 남 | 여 | 계,전체 | (단시간근로자) | 전체 | (단시간근로자),,N,2026-09-22T11:55:13+09:00,000,raw/document/20230315001015.zip,d7aa6f003ac73c513de23caa824c7db09681b75bf4d07d037a3375706512c918
