corp_label,구분,fy,rcept_no,report_nm,rcept_dt,section_title,table_index,row_index,위원회명,구성,소속이사명,설치목적및권한사항,비고,구분,열수일치,원문헤더,원문행,fetched_at,status,raw_path,raw_sha256
KB금융,,2008,20090331002885,사업보고서 (2008.12),20090331,가. 이사회제도에 관한 사항,30,10,,,,,,,N,위원회명 | 개최일자 | 의안내용 | 가결여부 | 사외이사의 성명·변보경(100%) | 사외이사의 성명·정기영(100%) | 사외이사의 성명·JacquesKemp(100%) | 사외이사의 성명·김 한(100%) | 사외이사의 성명·강찬수(100%),찬 반 여 부,2026-08-31T17:08:12+09:00,000,raw/document/20090331002885.zip,5e75727975c151a0b2f1bc1a9ae2973667fc3ad1c1c8654befeca89ee64dedee
KB금융,,2008,20090331002885,사업보고서 (2008.12),20090331,가. 이사회제도에 관한 사항,30,11,경영전략위원회,,,,,,Y,위원회명 | 개최일자 | 의안내용 | 가결여부 | 사외이사의 성명·변보경(100%) | 사외이사의 성명·정기영(100%) | 사외이사의 성명·JacquesKemp(100%) | 사외이사의 성명·김 한(100%) | 사외이사의 성명·강찬수(100%),경영전략위원회 | 2009.2.2 | - 제1차 위원회[보고사항]ㅇ 2008년도 배당(안) 검토 | - | - | - | - | - | -,2026-08-31T17:08:12+09:00,000,raw/document/20090331002885.zip,5e75727975c151a0b2f1bc1a9ae2973667fc3ad1c1c8654befeca89ee64dedee
KB금융,,2008,20090331002885,사업보고서 (2008.12),20090331,가. 이사회제도에 관한 사항,30,12,,,,,,,N,위원회명 | 개최일자 | 의안내용 | 가결여부 | 사외이사의 성명·변보경(100%) | 사외이사의 성명·정기영(100%) | 사외이사의 성명·JacquesKemp(100%) | 사외이사의 성명·김 한(100%) | 사외이사의 성명·강찬수(100%),2009.3.6 | - 제2차 위원회[보고사항]ㅇ BCC 투자현황 및 손자회사 편입(안) 검토ㅇ 캄보디아 'Khmer Union Bank' 손자회사 편입ㅇ KB생명의 자회사 편입(안) | - | - | - | - | - | -,2026-08-31T17:08:12+09:00,000,raw/document/20090331002885.zip,5e75727975c151a0b2f1bc1a9ae2973667fc3ad1c1c8654befeca89ee64dedee
메리츠금융지주,,2011,20110629000474,사업보고서 (2011.03),20110629,1. 이사회에 관한 사항,1,13,보상위원회,"사외이사 2명, 상근이사 1명","최희문, 김국주, 강성룡",,,,Y,위원회명 | 구성 | 소속 이사명 | 목적 및 권한사항,"보상위원회 | 사외이사 2명, 상근이사 1명 | 최희문, 김국주, 강성룡 | 회사 경영진에 대한 평가 및 보상",2026-09-22T11:39:59+09:00,000,raw/document/20110629000474.zip,a8a1cfae4f5c489c76497049ac00dc7182d35ae1e34fa0b8270ef42dc4756c51
메리츠금융지주,,2011,20110629000474,사업보고서 (2011.03),20110629,1. 이사회에 관한 사항,1,14,리스크관리위원회,"사외이사 2명, 상근이사 1명","최희문, 강성룡, 김동원",,,,Y,위원회명 | 구성 | 소속 이사명 | 목적 및 권한사항,"리스크관리위원회 | 사외이사 2명, 상근이사 1명 | 최희문, 강성룡, 김동원 | 그룹 전체의 리스크관리 기본방향 수립 및 관리",2026-09-22T11:39:59+09:00,000,raw/document/20110629000474.zip,a8a1cfae4f5c489c76497049ac00dc7182d35ae1e34fa0b8270ef42dc4756c51
메리츠금융지주,,2011,20110629000474,사업보고서 (2011.03),20110629,1. 이사회에 관한 사항,1,15,감사위원후보추천위원회,사외이사 3명,"김국주, 강성룡, 김동원",,,,Y,위원회명 | 구성 | 소속 이사명 | 목적 및 권한사항,"감사위원후보추천위원회 | 사외이사 3명 | 김국주, 강성룡, 김동원 | 주주총회에 감사위원 후보자 추천",2026-09-22T11:39:59+09:00,000,raw/document/20110629000474.zip,a8a1cfae4f5c489c76497049ac00dc7182d35ae1e34fa0b8270ef42dc4756c51
iM금융지주,,2011,20120330000343,사업보고서 (2011.12),20120330,1. 이사회에 관한 사항,2,16,리스크관리위원회,상임이사 1명사외이사 2명,하춘수안충영성낙인,1. 경영전략에 부합하는 리스크관리 기본방침의 수립 결의 2. 부담 가능한 리스크수준의 결정 결의 3. 자회사별 위험자본의 배분 결의 4. 자회사별 적정투자한도 또는 손실허용한도의 승인 결의 5. 리스크관리협의회규정 및 리스크관리규정의 제정 및 개정 결의 6. 트레이딩정책규정의 제정 및 개정 결의 7. 자본정책 및 자본관리를 위한 자본확충 등에 관한 사항 심의,,,Y,위원회명 | 구성 | 소속이사명 | 설치목적 및 권한사항 | 비 고,리스크관리위원회 | 상임이사 1명사외이사 2명 | 하춘수안충영성낙인 | 1. 경영전략에 부합하는 리스크관리 기본방침의 수립 결의 2. 부담 가능한 리스크수준의 결정 결의 3. 자회사별 위험자본의 배분 결의 4. 자회사별 적정투자한도 또는 손실허용한도의 승인 결의 5. 리스크관리협의회규정 및 리스크관리규정의 제정 및 개정 결의 6. 트레이딩정책규정의 제정 및 개정 결의 7. 자본정책 및 자본관리를 위한 자본확충 등에 관한 사항 심의 | ,2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,,2011,20120330000343,사업보고서 (2011.12),20120330,1. 이사회에 관한 사항,5,17,,,,,,,N,위원회명 | 개최일자 | 의안내용 | 가결 여부 | 사외이사의 성명·안충영 (출석률 80%) | 사외이사의 성명·성낙인 (출석률 100%),찬반여부,2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,,2011,20120330000343,사업보고서 (2011.12),20120330,1. 이사회에 관한 사항,5,18,리스크관리 위원회,,,,,,Y,위원회명 | 개최일자 | 의안내용 | 가결 여부 | 사외이사의 성명·안충영 (출석률 80%) | 사외이사의 성명·성낙인 (출석률 100%),리스크관리 위원회 | 2011.05.17 | 1. 위원장 선임 | 가결 | 불참 | 찬성,2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,,2011,20120330000343,사업보고서 (2011.12),20120330,1. 이사회에 관한 사항,5,19,,,,,,,N,위원회명 | 개최일자 | 의안내용 | 가결 여부 | 사외이사의 성명·안충영 (출석률 80%) | 사외이사의 성명·성낙인 (출석률 100%),2. 리스크관리규정 제정 | 가결 | 불참 | 찬성,2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,,2011,20120330000343,사업보고서 (2011.12),20120330,1. 이사회에 관한 사항,5,20,,,,,,,N,위원회명 | 개최일자 | 의안내용 | 가결 여부 | 사외이사의 성명·안충영 (출석률 80%) | 사외이사의 성명·성낙인 (출석률 100%),3. 리스크관리협의회규정 제정 | 가결 | 불참 | 찬성,2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,,2011,20120330000343,사업보고서 (2011.12),20120330,1. 이사회에 관한 사항,5,21,,,,,,,N,위원회명 | 개최일자 | 의안내용 | 가결 여부 | 사외이사의 성명·안충영 (출석률 80%) | 사외이사의 성명·성낙인 (출석률 100%),4. 트레이딩정책규정 제정 | 가결 | 불참 | 찬성,2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,,2011,20120330000343,사업보고서 (2011.12),20120330,1. 이사회에 관한 사항,5,22,,,,,,,N,위원회명 | 개최일자 | 의안내용 | 가결 여부 | 사외이사의 성명·안충영 (출석률 80%) | 사외이사의 성명·성낙인 (출석률 100%),2011.08.09 | 1. 2011년도 그룹 리스크허용한도 설정(안) | 가결 | 찬성 | 찬성,2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,,2011,20120330000343,사업보고서 (2011.12),20120330,1. 이사회에 관한 사항,5,23,,,,,,,N,위원회명 | 개최일자 | 의안내용 | 가결 여부 | 사외이사의 성명·안충영 (출석률 80%) | 사외이사의 성명·성낙인 (출석률 100%),2. 그룹 리스크관리 현황 보고 | 보고 | - | -,2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,,2011,20120330000343,사업보고서 (2011.12),20120330,1. 이사회에 관한 사항,5,24,,,,,,,N,위원회명 | 개최일자 | 의안내용 | 가결 여부 | 사외이사의 성명·안충영 (출석률 80%) | 사외이사의 성명·성낙인 (출석률 100%),3. 그룹 자기자본비율 현황 보고 | 보고 | - | -,2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,,2011,20120330000343,사업보고서 (2011.12),20120330,1. 이사회에 관한 사항,5,25,,,,,,,N,위원회명 | 개최일자 | 의안내용 | 가결 여부 | 사외이사의 성명·안충영 (출석률 80%) | 사외이사의 성명·성낙인 (출석률 100%),4. 리스크관리협의회 결의/심의내용 보고 | 보고 | - | -,2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,,2011,20120330000343,사업보고서 (2011.12),20120330,1. 이사회에 관한 사항,5,26,,,,,,,N,위원회명 | 개최일자 | 의안내용 | 가결 여부 | 사외이사의 성명·안충영 (출석률 80%) | 사외이사의 성명·성낙인 (출석률 100%),5. 리스크관리위원회 결의사항 시행결과 보고 | 보고 | - | -,2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,,2011,20120330000343,사업보고서 (2011.12),20120330,1. 이사회에 관한 사항,5,27,,,,,,,N,위원회명 | 개최일자 | 의안내용 | 가결 여부 | 사외이사의 성명·안충영 (출석률 80%) | 사외이사의 성명·성낙인 (출석률 100%),6. 자회사 리스크관리위원회 회의결과 보고 | 보고 | - | -,2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,,2011,20120330000343,사업보고서 (2011.12),20120330,1. 이사회에 관한 사항,5,28,,,,,,,N,위원회명 | 개최일자 | 의안내용 | 가결 여부 | 사외이사의 성명·안충영 (출석률 80%) | 사외이사의 성명·성낙인 (출석률 100%),2011.11.01 | 1. 그룹 리스크관리 현황 보고 | 보고 | - | -,2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,,2011,20120330000343,사업보고서 (2011.12),20120330,1. 이사회에 관한 사항,5,29,,,,,,,N,위원회명 | 개최일자 | 의안내용 | 가결 여부 | 사외이사의 성명·안충영 (출석률 80%) | 사외이사의 성명·성낙인 (출석률 100%),2. 그룹 자기자본비율 현황 보고 | 보고 | - | -,2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,,2011,20120330000343,사업보고서 (2011.12),20120330,1. 이사회에 관한 사항,5,30,,,,,,,N,위원회명 | 개최일자 | 의안내용 | 가결 여부 | 사외이사의 성명·안충영 (출석률 80%) | 사외이사의 성명·성낙인 (출석률 100%),3. 리스크관리위원회 결의사항 시행결과 보고 | 보고 | - | -,2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,,2011,20120330000343,사업보고서 (2011.12),20120330,1. 이사회에 관한 사항,5,31,,,,,,,N,위원회명 | 개최일자 | 의안내용 | 가결 여부 | 사외이사의 성명·안충영 (출석률 80%) | 사외이사의 성명·성낙인 (출석률 100%),4. 자회사 리스크관리위원회 회의결과 보고 | 보고 | - | -,2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,,2011,20120330000343,사업보고서 (2011.12),20120330,1. 이사회에 관한 사항,5,32,,,,,,,N,위원회명 | 개최일자 | 의안내용 | 가결 여부 | 사외이사의 성명·안충영 (출석률 80%) | 사외이사의 성명·성낙인 (출석률 100%),2011.12.14 | 1. 메트로아시아캐피탈(주) 인수 및 자회사 편입 | 가결 | 찬성 | 찬성,2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,,2011,20120330000343,사업보고서 (2011.12),20120330,1. 이사회에 관한 사항,5,33,,,,,,,N,위원회명 | 개최일자 | 의안내용 | 가결 여부 | 사외이사의 성명·안충영 (출석률 80%) | 사외이사의 성명·성낙인 (출석률 100%),2011.12.28 | 1. 2012년도 그룹 리스크 허용한도 수립(안) 승인 | 가결 | 찬성 | 찬성,2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,,2011,20120330000343,사업보고서 (2011.12),20120330,1. 이사회에 관한 사항,5,34,,,,,,,N,위원회명 | 개최일자 | 의안내용 | 가결 여부 | 사외이사의 성명·안충영 (출석률 80%) | 사외이사의 성명·성낙인 (출석률 100%),2. 2012년도 DGB금융그룹(지주) 업무계획(안) 심의 | 심의 | - | -,2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,,2011,20120330000343,사업보고서 (2011.12),20120330,1. 이사회에 관한 사항,5,35,,,,,,,N,위원회명 | 개최일자 | 의안내용 | 가결 여부 | 사외이사의 성명·안충영 (출석률 80%) | 사외이사의 성명·성낙인 (출석률 100%),3. 지주 채권발행 및 자회사 자금지원계획(안) 심의 | 심의 | - | -,2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,,2011,20120330000343,사업보고서 (2011.12),20120330,1. 이사회에 관한 사항,5,36,,,,,,,N,위원회명 | 개최일자 | 의안내용 | 가결 여부 | 사외이사의 성명·안충영 (출석률 80%) | 사외이사의 성명·성낙인 (출석률 100%),4. 11월 그룹 리스크관리현황 보고 | 보고 | - | -,2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,,2011,20120330000343,사업보고서 (2011.12),20120330,1. 이사회에 관한 사항,5,37,,,,,,,N,위원회명 | 개최일자 | 의안내용 | 가결 여부 | 사외이사의 성명·안충영 (출석률 80%) | 사외이사의 성명·성낙인 (출석률 100%),5. 리스크관리협의회 결의/심의내용 보고 | 보고 | - | -,2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
iM금융지주,,2011,20120330000343,사업보고서 (2011.12),20120330,1. 이사회에 관한 사항,5,38,,,,,,,N,위원회명 | 개최일자 | 의안내용 | 가결 여부 | 사외이사의 성명·안충영 (출석률 80%) | 사외이사의 성명·성낙인 (출석률 100%),6. 자회사 리스크관리위원회 회의결과 보고 | 보고 | - | -,2026-08-31T17:08:45+09:00,000,raw/document/20120330000343.zip,c15c7f3278da07744e8831002573ed7379e5cb38d0d8c680a7752b1530922cb1
