label,corp_code,corp_name_dart,corp_eng_name_dart,stock_code,entity_type,group,status_note,active_from,active_to,est_dt,jurir_no,acc_mt,corp_cls,resolved_by,identity_check,identity_verified_by,modify_date,tried_aliases,corp_code_hint,expect_est_dt,note,value_source,corpcode_fetched_at,source_endpoint,source_params,rcept_no,rcept_no_source,fetched_at,status,call_id,raw_path,raw_sha256,cached,cache_age_days
동양생명보험,00117267,동양생명,"TONGYANG LIFE INSURANCE CO.,LTD.",082640,생보,보험자회사,상장폐지,,,,,,,stock_code,미검증,,20250702,동양생명보험|동양생명|동양생명보험,,,2026-08-11 우리금융 포괄적 주식교환 완료 → 2026-08 말 상장폐지. 종목코드가 이미 공란일 수 있으므로 상호 매칭 폴백 필요,api+config,2026-08-31T15:04:51+09:00,corpCode,{},,none,2026-08-31T15:04:51+09:00,000,run_20260831_150050_0001,raw/corpCode/corpCode.zip,2973243e1eef663e3654b3f9cb971090f047749ae74736b4ad0b80e7c1ee7e82,Y,10
ABL생명보험,00148391,에이비엘생명보험,"ABL LIFE INSURANCE CO., LTD.",,생보,보험자회사,현존,,,,,,,alias:에이비엘생명보험,미검증,,20250710,ABL생명보험|ABL생명보험|에이비엘생명보험|알리안츠생명보험,,,2017-08-01 알리안츠생명 → ABL생명 개명,api+config,2026-08-31T15:04:51+09:00,corpCode,{},,none,2026-08-31T15:04:51+09:00,000,run_20260831_150050_0001,raw/corpCode/corpCode.zip,2973243e1eef663e3654b3f9cb971090f047749ae74736b4ad0b80e7c1ee7e82,Y,10
한화손해보험,00135917,한화손해보험,"Hanwha General Insurance Co., Ltd.",000370,손보,보험자회사,현존,,,,,,,stock_code,미검증,,20260811,한화손해보험|한화손해보험|신동아화재해상보험,00135917,,"2002-12 한화 인수, 2007-01-03 개명",api+config,2026-08-31T15:04:51+09:00,corpCode,{},,none,2026-08-31T15:04:51+09:00,000,run_20260831_150050_0001,raw/corpCode/corpCode.zip,2973243e1eef663e3654b3f9cb971090f047749ae74736b4ad0b80e7c1ee7e82,Y,10
캐롯손해보험,01393934,캐롯손해보험,"Carrot Co., Ltd",,손보,보험자회사,해산,20191001,20251001,,,,,corp_name_exact,미검증,,20230216,캐롯손해보험|캐롯손해보험,,,2025-10-01 한화손해보험에 흡수합병되어 소멸. 2025 이후 그리드는 not_applicable_entity_window,api+config,2026-08-31T15:04:51+09:00,corpCode,{},,none,2026-08-31T15:04:51+09:00,000,run_20260831_150050_0001,raw/corpCode/corpCode.zip,2973243e1eef663e3654b3f9cb971090f047749ae74736b4ad0b80e7c1ee7e82,Y,10
오렌지라이프생명보험,00176792,오렌지라이프생명보험,"Orange Life Insurance,Ltd.",079440,생보,선행법인,휴면,,20210701,,,,,corp_name_exact,미검증,,20210512,오렌지라이프생명보험|오렌지라이프생명보험|ING생명보험,,,"신한라이프 통합 전 절반. 2020 상장폐지, 2021-07-01 소멸",api+config,2026-08-31T15:04:51+09:00,corpCode,{},,none,2026-08-31T15:04:51+09:00,000,run_20260831_150050_0001,raw/corpCode/corpCode.zip,2973243e1eef663e3654b3f9cb971090f047749ae74736b4ad0b80e7c1ee7e82,Y,10
KB생명보험,00542065,케이비생명보험,KB Life Insurance Company,,생보,선행법인,휴면,,20230101,,,,,alias:케이비생명보험,미검증,,20230407,KB생명보험|KB생명보험|케이비생명보험,,,KB라이프 통합 전 KB 측. 2023-01-01 소멸,api+config,2026-08-31T15:04:51+09:00,corpCode,{},,none,2026-08-31T15:04:51+09:00,000,run_20260831_150050_0001,raw/corpCode/corpCode.zip,2973243e1eef663e3654b3f9cb971090f047749ae74736b4ad0b80e7c1ee7e82,Y,10
우리금융지주(구),00375302,우리금융지주,"WooriFinance Holdings Co.,Ltd.",053000,지주,선행법인,해산,20010327,20141101,,,,,alias:우리금융지주,미검증,,20170630,우리금융지주(구)|우리금융지주,,,"1기 지주(2001~2014). 신 우리금융지주와 상호가 같다 — 신 지주가 선점한 corp_code 를 제외한 뒤 유일하게 남는 것을 채택하고, 아니면 사람에게 묻는다",api+config,2026-08-31T15:04:51+09:00,corpCode,{},,none,2026-08-31T15:04:51+09:00,000,run_20260831_150050_0001,raw/corpCode/corpCode.zip,2973243e1eef663e3654b3f9cb971090f047749ae74736b4ad0b80e7c1ee7e82,Y,10
메리츠화재해상보험,00117744,메리츠화재해상보험,"Meritz Fire & Marine Insurance CO., Ltd",000060,손보,전환주체,현존,,,,,,,stock_code,미검증,,20231129,메리츠화재해상보험|메리츠화재해상보험|메리츠화재,,,2011 인적분할로 메리츠금융지주 신설. 분할의 목적·효과 원문이 목표. 조회 시작일을 2010-07-01 로 당긴다,api+config,2026-08-31T15:04:51+09:00,corpCode,{},,none,2026-08-31T15:04:51+09:00,000,run_20260831_150050_0001,raw/corpCode/corpCode.zip,2973243e1eef663e3654b3f9cb971090f047749ae74736b4ad0b80e7c1ee7e82,Y,10
메리츠금융지주,00860332,메리츠금융지주,MERITZ FINANCIAL GROUP INC.,138040,지주,비교지주,현존,,,,,,,stock_code,미검증,,20230105,메리츠금융지주|메리츠금융지주,,,보험사를 정점에 둔 지주 체제의 가장 직접적인 국내 선례. 2022 포괄적 주식교환으로 메리츠화재·메리츠증권 완전자회사화. 정형 데이터도 수집,api+config,2026-08-31T15:04:51+09:00,corpCode,{},,none,2026-08-31T15:04:51+09:00,000,run_20260831_150050_0001,raw/corpCode/corpCode.zip,2973243e1eef663e3654b3f9cb971090f047749ae74736b4ad0b80e7c1ee7e82,Y,10
우리은행,00254045,우리은행,Woori Bank,000030,기타,전환주체,현존,,,,,,,stock_code,미검증,,20250107,우리은행|우리은행,,,2018 주식이전으로 우리금융지주(2019-01-11) 신설. 전환 후 자본비율·이중레버리지 표가 서술과 함께 들어 있다,api+config,2026-08-31T15:04:51+09:00,corpCode,{},,none,2026-08-31T15:04:51+09:00,000,run_20260831_150050_0001,raw/corpCode/corpCode.zip,2973243e1eef663e3654b3f9cb971090f047749ae74736b4ad0b80e7c1ee7e82,Y,10
메리츠증권,00163682,메리츠증권,"MERITZ SECURITIES CO.,LTD",008560,기타,참고,현존,,,,,,,stock_code,미검증,,20240725,메리츠증권|메리츠증권,,,2022 주식교환 상대방,api+config,2026-08-31T15:04:51+09:00,corpCode,{},,none,2026-08-31T15:04:51+09:00,000,run_20260831_150050_0001,raw/corpCode/corpCode.zip,2973243e1eef663e3654b3f9cb971090f047749ae74736b4ad0b80e7c1ee7e82,Y,10
교보생명보험,00112882,교보생명보험,"Kyobo Life Insurance Co., Ltd",,생보,참고,현존,,,,,,,corp_name_exact,미검증,,20221214,교보생명보험|교보생명보험|교보생명,,,지주 전환 신고서를 내면 여기에 잡힌다. 현재는 대기,api+config,2026-08-31T15:04:51+09:00,corpCode,{},,none,2026-08-31T15:04:51+09:00,000,run_20260831_150050_0001,raw/corpCode/corpCode.zip,2973243e1eef663e3654b3f9cb971090f047749ae74736b4ad0b80e7c1ee7e82,Y,10
국민은행,00386937,국민은행,KOOKMIN BANK,060000,기타,전환주체,현존,,,20011101,1101112365321,12,E,stock_code,검증됨,stock_code=060000; jurir_no=1101112365321,20250102,국민은행|국민은행,,,2008 주식이전 → KB금융지주 신설. 동명 3건 중 종목 060000 이 2008-10 KB금융지주 상장으로 상장폐지된 그 법인. 주식교환ㆍ이전신고서 3건 확인,api+config,2026-08-31T15:04:51+09:00,corpCode,{},,none,2026-08-31T15:04:51+09:00,000,run_20260831_150050_0001,raw/corpCode/corpCode.zip,2973243e1eef663e3654b3f9cb971090f047749ae74736b4ad0b80e7c1ee7e82,Y,10
하나은행(구),00130897,하나은행,Hana Bank,002860,기타,전환주체,현존,,,19591201,1101110015671,12,E,stock_code,검증됨,stock_code=002860; jurir_no=1101110015671,20170630,하나은행(구)|하나은행,,,2005 주식이전 → 하나금융지주 신설. 동명 3건 중 종목 002860 이 실제 제출자 (004940 은 사유매칭 0건). 주식교환ㆍ이전신고서 5건 확인,api+config,2026-08-31T15:04:51+09:00,corpCode,{},,none,2026-08-31T15:04:51+09:00,000,run_20260831_150050_0001,raw/corpCode/corpCode.zip,2973243e1eef663e3654b3f9cb971090f047749ae74736b4ad0b80e7c1ee7e82,Y,10
신한은행(구),00149293,신한은행,SHINHAN BANK,000010,기타,전환주체,현존,,,18970219,1101110012809,12,E,stock_code,검증됨,stock_code=000010; jurir_no=1101110012809,20230410,신한은행(구)|신한은행,,,주식교환ㆍ이전신고서 2건이 있으나 2004년(조흥은행 편입)이지 2001 지주 설립 건이 아니다. 2001년 공시를 전수 확인했으나 주식이전 신고서 없음,api+config,2026-08-31T15:04:51+09:00,corpCode,{},,none,2026-08-31T15:04:51+09:00,000,run_20260831_150050_0001,raw/corpCode/corpCode.zip,2973243e1eef663e3654b3f9cb971090f047749ae74736b4ad0b80e7c1ee7e82,Y,10
동원증권,00162142,동원증권,Dongwon Securities,005890,기타,전환주체,현존,,,19681227,1101110003816,03,E,stock_code,검증됨,stock_code=005890; jurir_no=1101110003816,20170630,동원증권|동원증권,,,2003 주식이전 → 동원금융지주(현 한국금융지주) 신설. 다만 DART 에는 「주식교환ㆍ이전결정」 2건만 있고 신고서는 없다,api+config,2026-08-31T15:04:51+09:00,corpCode,{},,none,2026-08-31T15:04:51+09:00,000,run_20260831_150050_0001,raw/corpCode/corpCode.zip,2973243e1eef663e3654b3f9cb971090f047749ae74736b4ad0b80e7c1ee7e82,Y,10
한국금융지주,00432102,한국금융지주,"Korea Investment Holdings Co., Ltd",071050,지주,비교지주,현존,,,20030111,1101112691651,12,Y,stock_code,검증됨,stock_code=071050; jurir_no=1101112691651,20221228,한국금융지주|한국금융지주|한국투자금융지주,,,"2003 동원금융지주로 설립, 2007 개명. 비은행 금융지주 선례",api+config,2026-08-31T15:04:51+09:00,corpCode,{},,none,2026-08-31T15:04:51+09:00,000,run_20260831_150050_0001,raw/corpCode/corpCode.zip,2973243e1eef663e3654b3f9cb971090f047749ae74736b4ad0b80e7c1ee7e82,Y,10
